symbol,strategy,threshold,long_only,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,win_rate_pct,profit_factor
EURUSD,ML_LightGBM,0.35,False,-19.56058992428822,-0.23342856795421896,-35.192494114662374,901,41.28745837957825,0.9596854082055063
USDJPY,ML_LightGBM,0.35,True,4.797339184124083,0.17784721655733995,-17.794572690938,449,42.093541202672604,1.0163770073228215
GBPUSD,ML_LightGBM,0.35,False,-36.7187963587574,-0.590065932086719,-42.21611927214478,941,40.70138150903294,0.9225875313287578
USDCHF,ML_LightGBM,0.4,False,-54.674950172942346,-1.1412364790848835,-61.42364980866086,885,40.0,0.8597200362193976
AUDUSD,ML_LightGBM,0.35,False,-39.65779045097418,-0.6683373280547502,-49.48466327059219,929,40.796555435952634,0.9326577710748706
USDCAD,ML_LightGBM,0.3,False,-70.00431353381842,-1.7018583762365227,-70.56760162735463,985,38.17258883248731,0.8220609963045749
EURJPY,ML_LightGBM,0.45,False,22.313062129887662,0.4399559372067741,-28.0437930051124,742,42.99191374663073,1.0470334816304168
GBPJPY,ML_LightGBM,0.35,False,-66.24296942215464,-1.6023986880820507,-68.1683215728992,912,37.280701754385966,0.8139795882199592
AUDJPY,ML_LightGBM,0.3,False,-25.676672784941935,-0.3400424733052778,-51.426553085298906,956,41.00418410041841,0.9398514563201159
CADJPY,ML_LightGBM,0.5,False,-12.220146298999024,-0.18971150446848148,-38.57016254818244,511,41.68297455968688,0.9529484438194568
EURGBP,ML_LightGBM,0.3,False,-47.82634955281895,-0.8851124304756672,-56.29689797577551,927,42.502696871628906,0.89418324192682
EURAUD,ML_LightGBM,0.45,False,-34.293832181902616,-0.602041060560492,-34.79967090746223,791,40.202275600505686,0.9116687236681016
